FORPRINT: Wed Feb  8 09:21:10 2012
      2.60000   4.3906258e-06
      2.61000   1.9495304e-06
      2.62000   6.6740368e-06
      2.63000   5.5712917e-05
      2.64000   0.00013985592
      2.65000   0.00010033732
      2.66000   2.1206704e-05
      2.67000   4.8328059e-07
      2.68000   4.8584959e-09
      2.69000   3.0406886e-10
      2.70000   4.7427982e-08
      2.71000   5.6500869e-07
      2.72000   8.8909221e-06
      2.73000   2.6337255e-05
      2.74000   1.0766923e-05
      2.75000   2.1343050e-06
      2.76000   3.5440109e-07
      2.77000   4.2898451e-08
      2.78000   2.3044708e-06
      2.79000   1.7405848e-05
      2.80000   4.4425863e-05
      2.81000   0.00010544318
      2.82000   0.00026574430
      2.83000   0.00043615855
      2.84000   0.00050232110
      2.85000   0.00061169418
      2.86000   0.00086512108
      2.87000    0.0012040658
      2.88000    0.0015417736
      2.89000    0.0018292368
      2.90000    0.0020067983
      2.91000    0.0023313699
      2.92000    0.0026479598
      2.93000    0.0031512321
      2.94000    0.0033709873
      2.95000    0.0035164241
      2.96000    0.0039031629
      2.97000    0.0036085145
      2.98000    0.0041673442
      2.99000    0.0057889280
      3.00000    0.0069294525
      3.01000    0.0083608438
      3.02000     0.010105724
      3.03000     0.012303296
      3.04000     0.014309535
      3.05000     0.017705524
      3.06000     0.026114962
      3.07000     0.039001582
      3.08000     0.058767839
      3.09000     0.086183329
      3.10000      0.13793341
      3.11000      0.20939551
      3.12000      0.33236176
      3.13000      0.47365743
      3.14000      0.58739171
      3.15000      0.66534892
      3.16000      0.76956602
      3.17000      0.80784160
      3.18000      0.75582863
      3.19000      0.63069984
      3.20000      0.47820019
      3.21000      0.40200159
      3.22000      0.41867473
      3.23000      0.47917575
      3.24000      0.54027416
      3.25000      0.56185055
      3.26000      0.57302638
      3.27000      0.57542056
      3.28000      0.65529253
      3.29000      0.65873821
      3.30000      0.54884533
      3.31000      0.43712283
      3.32000      0.41894062
      3.33000      0.59703701
      3.34000      0.66507372
      3.35000      0.65350926
      3.36000      0.65031939
      3.37000      0.66277605
      3.38000      0.66982511
      3.39000      0.67961135
      3.40000      0.67696346
      3.41000      0.67379800
      3.42000      0.69801478
      3.43000      0.72125510
      3.44000      0.74227316
      3.45000      0.76839179
      3.46000      0.79984436
      3.47000      0.82479700
      3.48000      0.83090972
      3.49000      0.82436265
      3.50000      0.75969546
      3.51000      0.66647896
      3.52000      0.54207475
      3.53000      0.40163280
      3.54000      0.27469766
      3.55000      0.18177347
      3.56000      0.12158357
      3.57000     0.075056018
      3.58000     0.049901049
      3.59000     0.036454466
      3.60000     0.027925209
      3.61000     0.021480978
      3.62000     0.016213389
      3.63000     0.012000104
      3.64000    0.0089650690
      3.65000    0.0068171222
      3.66000    0.0048320689
      3.67000    0.0030808423
      3.68000    0.0017298338
      3.69000   0.00078010101
      3.70000   0.00027323731
      3.71000   0.00020644515
      3.72000   0.00018859624
      3.73000   0.00017144927
      3.74000   0.00015547632
      3.75000   0.00014084183
      3.76000   0.00012688800
      3.77000   0.00011405383
      3.78000   0.00010203556
      3.79000   9.0768160e-05
      3.80000   8.0552753e-05
      3.81000   7.0994187e-05
      3.82000   6.2347807e-05
      3.83000   5.4255839e-05
      3.84000   4.6595994e-05
      3.85000   3.9608383e-05
      3.86000   3.2956209e-05
      3.87000   2.6742107e-05
      3.88000   2.1596832e-05
      3.89000   1.7711927e-05
      3.90000   1.4439105e-05
      3.91000   1.1304022e-05
      3.92000   8.5727913e-06
      3.93000   6.3951439e-06
      3.94000   4.6179757e-06
      3.95000   3.1393722e-06
      3.96000   1.9495024e-06
      3.97000   1.0547214e-06
      3.98000   4.4831507e-07
      3.99000   1.0684564e-07
