 3000  3600  4700 5500  7000  6800  UBVRI from Bessel MS 1990 PASP 102 1181
0.000 0.000  0.00 0.000  0.00 Steps = 10nm except 5nm for U
0.016 0.030  0.23 0.024  0.01
0.068 0.134  0.74 0.232  0.17
0.167 0.567  0.91 0.555  0.36
0.287 0.920  0.98 0.785  0.56  Last one from Johnson HL 1965 ApJ 141 923
0.423 0.978  1.00 0.910  0.76
0.560 1.000  0.98 0.965  0.96
0.673 0.978  0.96 0.985  0.98
0.772 0.935  0.93 0.990  1.00
0.841 0.853  0.90 0.995  0.98
0.905 0.740  0.86 1.000  0.93
0.943 0.640  0.81 1.000  0.84
0.981 0.536  0.78 0.990  0.71
0.993 0.424  0.72 0.980  0.58
1.000 0.325  0.67 0.950  0.47
0.989 0.235  0.61 0.910  0.36
0.916 0.150  0.56 0.860  0.28
0.804 0.095  0.51 0.750  0.20
0.625 0.043  0.46 0.560  0.15
0.423 0.009  0.40 0.330  0.10
0.238 0.000  0.35 0.150  0.08
0.114 0.000  0.14 0.030  0.05
0.051 0.000  0.03 0.000  0.03
0.019 0.000  0.00 0.000  0.02
0.000 0.000  0.00 0.000  0.00

