#
# Generated by M. Cushing, Mon May 18 15:56:03 2009
#
# The filter profile are from Tokunaga et al. (2002, PASP, 114, 180)
# and are at 65 K. The atmospheric transmission was computed using
# ATRAN at an airmass of 1.3, with a precipitable water vapor of 1 mm,
# and is meant to match the WFCAM filter system response functions
# given in Hewett et al. (2006, MNRAS, 367, 454).  The transmission
# spectrum was smoothed to R=2000 and resampled to 2 pixels per
# resolution element.  The filter transmission function was then
# resampled onto this wavelength scale.
#
#====================================
#Wavelength (microns)  Transmission
#====================================
            3.2847760         0.002
            3.2855972         0.001
            3.2864186         0.001
            3.2872402         0.003
            3.2880620         0.005
            3.2888840         0.006
            3.2897063         0.004
            3.2905287         0.003
            3.2913513         0.003
            3.2921742         0.003
            3.2929972         0.003
            3.2938205         0.004
            3.2946439         0.003
            3.2954676         0.002
            3.2962914         0.002
            3.2971155         0.003
            3.2979398         0.003
            3.2987643         0.003
            3.2995890         0.003
            3.3004139         0.003
            3.3012390         0.003
            3.3020643         0.004
            3.3028898         0.005
            3.3037155         0.007
            3.3045414         0.004
            3.3053676         0.005
            3.3061939         0.009
            3.3070205         0.010
            3.3078472         0.008
            3.3086742         0.005
            3.3095014         0.005
            3.3103287         0.006
            3.3111563         0.007
            3.3119841         0.004
            3.3128121         0.001
            3.3136403         0.000
            3.3144687         0.000
            3.3152973         0.000
            3.3161261         0.001
            3.3169552         0.001
            3.3177844         0.001
            3.3186139         0.002
            3.3194435         0.002
            3.3202734         0.004
            3.3211034         0.005
            3.3219337         0.005
            3.3227642         0.006
            3.3235949         0.008
            3.3244258         0.008
            3.3252569         0.010
            3.3260882         0.012
            3.3269197         0.011
            3.3277515         0.008
            3.3285834         0.007
            3.3294156         0.007
            3.3302479         0.009
            3.3310805         0.010
            3.3319132         0.012
            3.3327462         0.011
            3.3335794         0.011
            3.3344128         0.012
            3.3352464         0.014
            3.3360802         0.015
            3.3369142         0.015
            3.3377485         0.015
            3.3385829         0.015
            3.3394175         0.014
            3.3402524         0.013
            3.3410875         0.015
            3.3419227         0.015
            3.3427582         0.016
            3.3435939         0.018
            3.3444298         0.016
            3.3452659         0.012
            3.3461022         0.011
            3.3469388         0.015
            3.3477755         0.019
            3.3486124         0.022
            3.3494496         0.022
            3.3502869         0.020
            3.3511245         0.020
            3.3519623         0.023
            3.3528003         0.025
