# Generated by M. Cushing, Wed Feb 18 16:00:57 2009
#
# The filter profile are from Tokunaga et al. (2002, PASP, 114, 180)
# and are at 65 K. The atmospheric transmission was computed using
# ATRAN at an airmass of 1, with a precipitable water vapor of 2 mm. 
# The transmission spectrum was smoothed to R=2000 and resampled to 2
# pixels per resolution element.  The filter transmission function was
# then resampled onto this wavelength scale.
#
#====================================
#Wavelength (microns)  Transmission
#====================================
            1.0000858        -0.000
            1.0003358         0.000
            1.0005859        -0.000
            1.0008360         0.001
            1.0010862         0.001
            1.0013365        -0.000
            1.0015869        -0.001
            1.0018372        -0.000
            1.0020877         0.000
            1.0023382        -0.000
            1.0025888         0.001
            1.0028395         0.001
            1.0030902        -0.000
            1.0033409        -0.001
            1.0035918        -0.001
            1.0038427         0.000
            1.0040936         0.001
            1.0043447         0.000
            1.0045957        -0.002
            1.0048469        -0.001
            1.0050981        -0.000
            1.0053494         0.000
            1.0056007         0.001
            1.0058521         0.000
            1.0061036         0.000
            1.0063551        -0.000
            1.0066067        -0.001
            1.0068583        -0.000
            1.0071101         0.000
            1.0073618        -0.000
            1.0076137         0.000
            1.0078656         0.001
            1.0081176         0.000
            1.0083696         0.001
            1.0086217        -0.000
            1.0088738        -0.000
            1.0091260        -0.000
            1.0093783        -0.000
            1.0096307        -0.001
            1.0098831        -0.001
            1.0101356        -0.000
            1.0103881        -0.000
            1.0106407         0.001
            1.0108933        -0.000
            1.0111461        -0.001
            1.0113989         0.000
            1.0116517        -0.000
            1.0119046        -0.001
            1.0121576        -0.000
            1.0124106         0.000
            1.0126637         0.001
            1.0129169         0.000
            1.0131701         0.001
            1.0134234         0.001
            1.0136768         0.000
            1.0139302         0.000
            1.0141837         0.000
            1.0144372        -0.000
            1.0146908         0.000
            1.0149445         0.000
            1.0151982         0.000
            1.0154520        -0.000
            1.0157059        -0.000
            1.0159598         0.000
            1.0162138         0.001
            1.0164679         0.000
            1.0167220        -0.001
            1.0169762        -0.001
            1.0172304        -0.001
            1.0174847        -0.001
            1.0177391        -0.000
            1.0179935         0.000
            1.0182480         0.000
            1.0185026         0.000
            1.0187572         0.000
            1.0190119         0.000
            1.0192667         0.001
            1.0195215         0.001
            1.0197764        -0.000
            1.0200313        -0.001
            1.0202863        -0.000
            1.0205414        -0.001
            1.0207965        -0.001
            1.0210517        -0.000
            1.0213070         0.001
            1.0215623         0.000
            1.0218177        -0.000
            1.0220731        -0.000
            1.0223287        -0.000
            1.0225842         0.001
            1.0228399         0.001
            1.0230956        -0.000
            1.0233514         0.000
            1.0236072         0.001
            1.0238631         0.000
            1.0241191         0.000
            1.0243751         0.000
            1.0246312         0.001
            1.0248874         0.001
            1.0251436         0.001
            1.0253999         0.000
            1.0256562         0.000
            1.0259126        -0.000
            1.0261691         0.000
            1.0264257         0.000
            1.0266823        -0.001
            1.0269389        -0.001
            1.0271957        -0.000
            1.0274525         0.000
            1.0277093         0.000
            1.0279663         0.000
            1.0282233         0.001
            1.0284803         0.000
            1.0287374        -0.000
            1.0289946         0.000
            1.0292519        -0.000
            1.0295092        -0.000
            1.0297665        -0.000
            1.0300240         0.000
            1.0302815        -0.000
            1.0305391        -0.000
            1.0307967         0.000
            1.0310544        -0.000
            1.0313122        -0.000
            1.0315700        -0.000
            1.0318279        -0.001
            1.0320858        -0.000
            1.0323439         0.000
            1.0326020         0.000
            1.0328601         0.000
            1.0331183         0.001
            1.0333766         0.001
            1.0336349         0.001
            1.0338933        -0.000
            1.0341518        -0.000
            1.0344104         0.001
            1.0346690         0.000
            1.0349276        -0.001
            1.0351864        -0.000
            1.0354452        -0.000
            1.0357040        -0.001
            1.0359629        -0.001
            1.0362219         0.000
            1.0364810        -0.000
            1.0367401         0.000
            1.0369993        -0.000
            1.0372585        -0.001
            1.0375179         0.001
            1.0377772         0.000
            1.0380367         0.001
            1.0382962         0.001
            1.0385558         0.000
            1.0388154         0.000
            1.0390751         0.000
            1.0393349         0.000
            1.0395947         0.000
            1.0398546        -0.000
            1.0401146         0.000
            1.0403746        -0.000
            1.0406347        -0.000
            1.0408949        -0.000
            1.0411551         0.000
            1.0414154         0.000
            1.0416757        -0.000
            1.0419361         0.000
            1.0421966        -0.000
            1.0424572        -0.001
            1.0427178        -0.000
            1.0429785        -0.000
            1.0432392        -0.001
            1.0435000        -0.001
            1.0437609        -0.001
            1.0440218        -0.000
            1.0442828         0.000
            1.0445439        -0.000
            1.0448051        -0.001
            1.0450663         0.000
            1.0453275        -0.000
            1.0455889        -0.000
            1.0458502         0.001
            1.0461117        -0.000
            1.0463732         0.000
            1.0466348         0.000
            1.0468965         0.001
            1.0471582         0.001
            1.0474200         0.001
            1.0476819        -0.000
            1.0479438        -0.000
            1.0482058        -0.001
            1.0484678        -0.001
            1.0487299        -0.000
            1.0489921        -0.000
            1.0492544         0.000
            1.0495167         0.000
            1.0497791        -0.000
            1.0500415        -0.001
            1.0503040        -0.000
            1.0505666         0.000
            1.0508292        -0.000
            1.0510919        -0.001
            1.0513547         0.000
            1.0516175        -0.000
            1.0518805        -0.001
            1.0521434        -0.000
            1.0524065        -0.000
            1.0526696        -0.000
            1.0529327         0.000
            1.0531960         0.001
            1.0534593        -0.000
            1.0537226         0.001
            1.0539861         0.001
            1.0542496         0.001
            1.0545131         0.001
            1.0547767         0.000
            1.0550404        -0.001
            1.0553042        -0.001
            1.0555680        -0.001
            1.0558319         0.000
            1.0560959         0.000
            1.0563599         0.001
            1.0566240         0.000
            1.0568881        -0.000
            1.0571524        -0.000
            1.0574167        -0.000
            1.0576810        -0.000
            1.0579454        -0.000
            1.0582099        -0.001
            1.0584745        -0.001
            1.0587391        -0.000
            1.0590038         0.001
            1.0592685         0.000
            1.0595333         0.000
            1.0597982        -0.000
            1.0600632         0.001
            1.0603282         0.000
            1.0605933        -0.001
            1.0608584        -0.001
            1.0611236        -0.000
            1.0613889        -0.000
            1.0616543        -0.000
            1.0619197        -0.001
            1.0621852        -0.000
            1.0624507        -0.000
            1.0627163        -0.000
            1.0629820        -0.000
            1.0632477        -0.001
            1.0635135        -0.000
            1.0637794         0.000
            1.0640454         0.001
            1.0643114         0.000
            1.0645775         0.001
            1.0648436        -0.000
            1.0651098        -0.000
            1.0653761        -0.001
            1.0656424        -0.001
            1.0659088         0.000
            1.0661753         0.000
            1.0664419        -0.001
            1.0667085         0.001
            1.0669752         0.001
            1.0672419        -0.000
            1.0675087        -0.000
            1.0677756        -0.000
            1.0680425         0.001
            1.0683095         0.000
            1.0685766         0.000
            1.0688438         0.001
            1.0691110         0.001
            1.0693783         0.001
            1.0696456         0.000
            1.0699130         0.000
            1.0701805         0.000
            1.0704480         0.000
            1.0707156         0.001
            1.0709833         0.000
            1.0712511        -0.001
            1.0715189        -0.000
            1.0717868        -0.000
            1.0720547        -0.000
            1.0723227        -0.001
            1.0725908        -0.000
            1.0728590        -0.000
            1.0731272         0.000
            1.0733954        -0.000
            1.0736638         0.001
            1.0739322         0.001
            1.0742007         0.001
            1.0744692         0.000
            1.0747379        -0.000
            1.0750065        -0.001
            1.0752753        -0.000
            1.0755441         0.000
            1.0758130         0.000
            1.0760820         0.000
            1.0763510         0.000
            1.0766201         0.000
            1.0768892         0.000
            1.0771584         0.001
            1.0774277        -0.000
            1.0776971        -0.000
            1.0779665        -0.000
            1.0782360        -0.000
            1.0785056        -0.000
            1.0787752        -0.000
            1.0790449        -0.001
            1.0793146        -0.001
            1.0795845         0.000
            1.0798544         0.000
            1.0801243         0.000
            1.0803944        -0.001
            1.0806645        -0.001
            1.0809346         0.000
            1.0812049         0.000
            1.0814752         0.000
            1.0817455         0.000
            1.0820160         0.000
            1.0822865         0.000
            1.0825570        -0.000
            1.0828277        -0.000
            1.0830984         0.001
            1.0833692        -0.000
            1.0836400         0.000
            1.0839109         0.000
            1.0841819        -0.000
            1.0844529        -0.000
            1.0847241         0.000
            1.0849952         0.001
            1.0852665         0.000
            1.0855378        -0.000
            1.0858092         0.000
            1.0860806         0.001
            1.0863522         0.000
            1.0866237         0.001
            1.0868954         0.001
            1.0871671         0.001
            1.0874389         0.001
            1.0877108         0.000
            1.0879827        -0.000
            1.0882547         0.000
            1.0885268         0.001
            1.0887989         0.000
            1.0890711        -0.000
            1.0893434         0.000
            1.0896157         0.001
            1.0898881         0.001
            1.0901606         0.000
            1.0904331         0.001
            1.0907057         0.000
            1.0909784         0.000
            1.0912511         0.001
            1.0915240         0.000
            1.0917968         0.001
            1.0920698         0.000
            1.0923428         0.000
            1.0926159         0.000
            1.0928890         0.000
            1.0931623        -0.000
            1.0934356        -0.001
            1.0937089        -0.001
            1.0939823         0.000
            1.0942558        -0.000
            1.0945294        -0.000
            1.0948030         0.001
            1.0950767        -0.000
            1.0953505         0.000
            1.0956243         0.000
            1.0958982        -0.000
            1.0961722         0.000
            1.0964463        -0.000
            1.0967204        -0.000
            1.0969946        -0.000
            1.0972688        -0.000
            1.0975431        -0.001
            1.0978175        -0.001
            1.0980920        -0.000
            1.0983665        -0.000
            1.0986411         0.000
            1.0989157        -0.000
            1.0991905         0.000
            1.0994653         0.000
            1.0997401        -0.000
            1.1000151        -0.000
            1.1002901         0.000
            1.1005651         0.001
            1.1008403         0.001
            1.1011155         0.001
            1.1013908         0.001
            1.1016661         0.000
            1.1019415        -0.000
            1.1022170         0.000
            1.1024926         0.000
            1.1027682         0.001
            1.1030439        -0.000
            1.1033197         0.000
            1.1035955         0.001
            1.1038714        -0.000
            1.1041474        -0.000
            1.1044234         0.000
            1.1046995        -0.000
            1.1049757        -0.000
            1.1052519         0.001
            1.1055282         0.001
            1.1058046         0.001
            1.1060811         0.000
            1.1063576        -0.000
            1.1066342         0.000
            1.1069108         0.000
            1.1071876         0.001
            1.1074644         0.000
            1.1077412        -0.000
            1.1080182        -0.000
            1.1082952         0.000
            1.1085722         0.001
            1.1088494         0.000
            1.1091266        -0.000
            1.1094039         0.000
            1.1096812         0.000
            1.1099586         0.000
            1.1102361         0.000
            1.1105137         0.000
            1.1107913         0.001
            1.1110690        -0.000
            1.1113468        -0.000
            1.1116246        -0.000
            1.1119025         0.000
            1.1121805         0.001
            1.1124585         0.001
            1.1127367         0.000
            1.1130148        -0.000
            1.1132931         0.000
            1.1135714         0.000
            1.1138498         0.001
            1.1141283         0.000
            1.1144068        -0.000
            1.1146854         0.001
            1.1149641         0.001
            1.1152428         0.000
            1.1155216         0.001
            1.1158005        -0.000
            1.1160795         0.000
            1.1163585         0.001
            1.1166376         0.000
            1.1169167        -0.000
            1.1171960         0.000
            1.1174753         0.000
            1.1177546         0.000
            1.1180341        -0.000
            1.1183136        -0.000
            1.1185932        -0.000
            1.1188728         0.000
            1.1191525        -0.000
            1.1194323         0.000
            1.1197122         0.000
            1.1199921         0.000
            1.1202721        -0.000
            1.1205522         0.000
            1.1208323         0.001
            1.1211125         0.001
            1.1213928         0.000
            1.1216731        -0.000
            1.1219536         0.000
            1.1222340         0.000
            1.1225146         0.000
            1.1227952        -0.000
            1.1230759        -0.000
            1.1233567        -0.000
            1.1236375         0.000
            1.1239184         0.000
            1.1241994         0.001
            1.1244805        -0.000
            1.1247616         0.000
            1.1250428         0.000
            1.1253240         0.000
            1.1256054        -0.000
            1.1258868        -0.000
            1.1261682         0.000
            1.1264498         0.000
            1.1267314         0.000
            1.1270131         0.000
            1.1272948         0.000
            1.1275767         0.001
            1.1278586         0.000
            1.1281405         0.000
            1.1284226         0.001
            1.1287047         0.001
            1.1289868         0.000
            1.1292691         0.000
            1.1295514         0.000
            1.1298338        -0.000
            1.1301162         0.000
            1.1303988         0.000
            1.1306814         0.000
            1.1309640         0.000
            1.1312468         0.000
            1.1315296         0.000
            1.1318125         0.000
            1.1320954         0.000
            1.1323785         0.000
            1.1326616         0.001
            1.1329447         0.001
            1.1332280         0.000
            1.1335113         0.000
            1.1337946         0.000
            1.1340781         0.000
            1.1343616         0.000
            1.1346452         0.000
            1.1349289         0.000
            1.1352126         0.000
            1.1354964         0.001
            1.1357803         0.000
            1.1360642         0.001
            1.1363482         0.001
            1.1366323         0.001
            1.1369165         0.001
            1.1372007         0.001
            1.1374850         0.001
            1.1377694         0.002
            1.1380538         0.001
            1.1383383         0.001
            1.1386229         0.001
            1.1389076         0.002
            1.1391923         0.002
            1.1394771         0.001
            1.1397620         0.001
            1.1400469         0.001
            1.1403319         0.002
            1.1406170         0.001
            1.1409022         0.001
            1.1411874         0.002
            1.1414727         0.002
            1.1417580         0.003
            1.1420435         0.003
            1.1423290         0.002
            1.1426146         0.003
            1.1429002         0.003
            1.1431860         0.003
            1.1434718         0.003
            1.1437576         0.003
            1.1440436         0.003
            1.1443296         0.003
            1.1446157         0.003
            1.1449018         0.004
            1.1451880         0.004
            1.1454743         0.004
            1.1457607         0.005
            1.1460471         0.005
            1.1463337         0.004
            1.1466202         0.004
            1.1469069         0.005
            1.1471936         0.006
            1.1474804         0.007
            1.1477673         0.008
