# Generated by M. Cushing, Wed Feb 18 15:58:02 2009
#
# The filter profile are from Tokunaga et al. (2002, PASP, 114, 180)
# and are at 65 K. The atmospheric transmission was computed using
# ATRAN at an airmass of 1, with a precipitable water vapor of 2 mm. 
# The transmission spectrum was smoothed to R=2000 and resampled to 2
# pixels per resolution element.  The filter transmission function was
# then resampled onto this wavelength scale.
#
#====================================
#Wavelength (microns)  Transmission
#====================================
            1.7950137         0.000
            1.7954625         0.000
            1.7959113         0.000
            1.7963603         0.000
            1.7968094         0.000
            1.7972586         0.000
            1.7977079         0.000
            1.7981574         0.000
            1.7986069         0.000
            1.7990565        -0.000
            1.7995063        -0.000
            1.7999562        -0.000
            1.8004062        -0.000
            1.8008563        -0.000
            1.8013065         0.000
            1.8017568         0.000
            1.8022073         0.000
            1.8026578         0.000
            1.8031085         0.000
            1.8035593         0.000
            1.8040101        -0.000
            1.8044611        -0.000
            1.8049123        -0.000
            1.8053635        -0.000
            1.8058148         0.000
            1.8062663         0.000
            1.8067178         0.000
            1.8071695         0.000
            1.8076213         0.000
            1.8080732         0.000
            1.8085252         0.000
            1.8089774         0.000
            1.8094296         0.000
            1.8098820         0.000
            1.8103344         0.000
            1.8107870         0.000
            1.8112397         0.000
            1.8116925         0.000
            1.8121455         0.000
            1.8125985         0.000
            1.8130516         0.000
            1.8135049         0.000
            1.8139583         0.000
            1.8144118         0.000
            1.8148654         0.000
            1.8153191        -0.000
            1.8157729        -0.000
            1.8162269        -0.000
            1.8166809        -0.000
            1.8171351         0.000
            1.8175894         0.000
            1.8180438         0.000
            1.8184983         0.000
            1.8189529         0.000
            1.8194077         0.000
            1.8198625         0.000
            1.8203175         0.000
            1.8207725         0.000
            1.8212277         0.000
            1.8216830        -0.000
            1.8221385        -0.000
            1.8225940        -0.000
            1.8230497         0.000
            1.8235054         0.000
            1.8239613         0.000
            1.8244173         0.000
            1.8248734         0.000
            1.8253296         0.000
            1.8257859        -0.000
            1.8262424        -0.000
            1.8266989        -0.000
            1.8271556        -0.000
            1.8276124         0.000
            1.8280693         0.000
            1.8285263         0.000
            1.8289835         0.000
            1.8294407         0.000
            1.8298981        -0.000
            1.8303555        -0.000
            1.8308131        -0.000
            1.8312708         0.000
            1.8317286         0.000
            1.8321866         0.000
            1.8326446         0.000
            1.8331028         0.000
            1.8335611         0.000
            1.8340195         0.000
            1.8344780         0.000
            1.8349366         0.000
            1.8353953        -0.000
            1.8358542        -0.000
            1.8363131         0.000
            1.8367722         0.000
            1.8372314         0.000
            1.8376907         0.000
            1.8381501        -0.000
            1.8386097         0.000
            1.8390693         0.000
            1.8395291         0.000
            1.8399890         0.000
            1.8404490         0.000
            1.8409091        -0.000
            1.8413693        -0.000
            1.8418296        -0.000
            1.8422901        -0.000
            1.8427507        -0.000
            1.8432114        -0.000
            1.8436722        -0.000
            1.8441331         0.000
            1.8445941         0.000
            1.8450553         0.000
            1.8455165         0.000
            1.8459779         0.000
            1.8464394         0.000
            1.8469010         0.000
            1.8473627         0.000
            1.8478246         0.000
            1.8482865         0.000
            1.8487486         0.000
            1.8492108         0.000
            1.8496731         0.000
            1.8501355         0.000
            1.8505980        -0.000
            1.8510607        -0.000
            1.8515235        -0.000
            1.8519863        -0.000
            1.8524493        -0.000
            1.8529125        -0.000
            1.8533757         0.000
            1.8538390         0.000
            1.8543025         0.000
            1.8547661         0.000
            1.8552298         0.000
            1.8556936         0.000
            1.8561575         0.000
            1.8566215         0.000
            1.8570857         0.000
            1.8575500         0.000
            1.8580143         0.000
            1.8584788         0.000
            1.8589435         0.000
            1.8594082         0.000
            1.8598730         0.000
            1.8603380         0.000
            1.8608031         0.000
            1.8612683         0.000
            1.8617336         0.000
            1.8621991         0.000
            1.8626646         0.000
            1.8631303         0.000
            1.8635961         0.000
            1.8640620         0.000
            1.8645280        -0.000
            1.8649941        -0.000
            1.8654603        -0.000
            1.8659267        -0.000
            1.8663932        -0.000
            1.8668598        -0.000
            1.8673265        -0.000
            1.8677933        -0.000
            1.8682603        -0.000
            1.8687274        -0.000
            1.8691945        -0.000
            1.8696618         0.000
            1.8701292         0.000
            1.8705968         0.000
            1.8710644        -0.000
            1.8715322        -0.000
            1.8720001         0.000
            1.8724681         0.000
            1.8729362         0.000
            1.8734044         0.000
            1.8738728         0.000
            1.8743412         0.000
            1.8748098         0.000
            1.8752785         0.000
            1.8757474        -0.000
            1.8762163        -0.000
            1.8766853        -0.000
            1.8771545         0.000
            1.8776238         0.000
            1.8780932         0.000
            1.8785627         0.000
            1.8790324         0.000
            1.8795021         0.000
            1.8799720         0.000
            1.8804420         0.000
            1.8809121         0.000
            1.8813823         0.000
            1.8818527         0.000
            1.8823232         0.000
            1.8827937         0.000
            1.8832644         0.000
            1.8837352         0.000
            1.8842062         0.000
            1.8846772         0.000
            1.8851484         0.000
            1.8856197         0.000
            1.8860911         0.000
            1.8865626         0.000
            1.8870343         0.000
            1.8875060         0.000
            1.8879779         0.000
            1.8884499         0.000
            1.8889220         0.000
            1.8893942         0.000
            1.8898666         0.000
            1.8903390         0.000
            1.8908116         0.000
            1.8912843         0.000
            1.8917572         0.000
            1.8922301         0.000
            1.8927031         0.000
            1.8931763         0.000
            1.8936496         0.000
            1.8941230         0.000
            1.8945966         0.000
            1.8950702         0.000
            1.8955440         0.000
            1.8960179         0.000
            1.8964919         0.000
            1.8969660         0.000
            1.8974402         0.000
            1.8979146         0.000
            1.8983891         0.000
            1.8988637         0.000
            1.8993384         0.000
            1.8998132         0.000
            1.9002882         0.000
            1.9007632         0.000
            1.9012384         0.000
            1.9017137         0.000
            1.9021892         0.000
            1.9026647         0.000
            1.9031404         0.000
            1.9036162         0.000
            1.9040921         0.000
            1.9045681         0.000
            1.9050442         0.000
            1.9055205         0.000
            1.9059969         0.000
            1.9064734         0.000
            1.9069500         0.000
            1.9074267         0.000
            1.9079036         0.000
            1.9083806         0.000
            1.9088577         0.000
            1.9093349         0.000
            1.9098122         0.000
            1.9102897         0.000
            1.9107672         0.000
            1.9112449         0.000
            1.9117227         0.000
            1.9122007         0.000
            1.9126787         0.000
            1.9131569         0.000
            1.9136352         0.000
            1.9141136         0.000
            1.9145921         0.000
            1.9150708         0.000
            1.9155495         0.000
            1.9160284         0.000
            1.9165074         0.000
            1.9169866         0.000
            1.9174658         0.000
            1.9179452         0.001
            1.9184247         0.000
            1.9189043         0.000
            1.9193840         0.000
            1.9198638         0.000
            1.9203438         0.000
            1.9208239         0.000
            1.9213041         0.000
            1.9217844         0.001
            1.9222649         0.001
            1.9227454         0.001
            1.9232261         0.000
            1.9237069         0.000
            1.9241879         0.000
            1.9246689         0.001
            1.9251501         0.001
            1.9256314         0.001
            1.9261128         0.001
            1.9265943         0.000
            1.9270759         0.000
            1.9275577         0.001
            1.9280396         0.001
            1.9285216         0.001
            1.9290037         0.001
            1.9294860         0.001
            1.9299684         0.001
            1.9304508         0.001
            1.9309335         0.001
            1.9314162         0.001
            1.9318990         0.001
            1.9323820         0.001
            1.9328651         0.001
            1.9333483         0.001
            1.9338317         0.001
            1.9343151         0.002
            1.9347987         0.002
            1.9352824         0.002
            1.9357662         0.002
            1.9362502         0.002
            1.9367342         0.002
            1.9372184         0.002
            1.9377027         0.002
            1.9381871         0.002
            1.9386717         0.001
            1.9391564         0.001
            1.9396412         0.002
            1.9401261         0.003
            1.9406111         0.002
            1.9410962         0.002
            1.9415815         0.003
