PLATE  MJD   RA    DEC   SN2_G1 SN2_I1 SN2_G2 SN2_I2 Ngal Nqso Nsta Nunk Nsky
-----  ----- ----- ----- ------ ------ ------ ------ ---- ---- ---- ---- ----
  182  51703   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  188  51457 358.8   0.0   22.1   14.8   11.1   13.2  402   61   74   53   50
  190  51457   2.5   0.0   25.1   16.3   13.4    9.0  431   56   54   49   50
  187  51454   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  192  51461   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  194  51462   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  198  51433  21.4   0.1    8.4    5.6   14.1   16.3  442   34   56   58   50
  202  51441  30.3   0.2    6.0    5.1    7.8    3.2  412   64   43   71   50
  203  51456   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  204  51455   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  209  51462  46.6   0.0   20.8   14.1   11.2    4.7  436   42   70   42   50
  213  51578   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  191  51456   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  218  51461   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  231  51456  60.0   0.0   23.8   10.8   19.3   13.1   66   43  172  319   40
  235  51462   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  260  51612  65.2   0.1    4.0    3.9    4.4    2.6  329   22   63  194   32
  265  51602  80.1   0.0   23.6   12.3    9.9    6.9  370   31  151   56   32
  266  51602 145.9   0.1   27.1   20.2   18.3   11.9  492   38   57   21   32
  266  51630 145.9   0.1   32.6   33.3   33.2   34.4  504   44   54    6   32
  267  51608 147.7  -0.0   23.5   22.7   30.9   24.5  535   23   37   13   32
  268  51633 149.1   0.1   32.2   26.7   33.8   29.1  542   20   46    0   32
  269  51581 150.6   0.0   17.3   16.8   15.1   10.6  499   34   63   12   32
  269  51910   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  270  51909 152.4  -0.1   29.6   26.8   25.4   26.1    0    0    0    0    0
  271  51879 154.3   0.1   12.4    8.5   11.7    7.7  504   45   42   17   32
  271  51883 154.3   0.1   27.1   23.9   29.0   22.0  510   45   45    8   32
  275  51910   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  276  51909 163.4  -0.0   46.7   39.3   39.9   39.0    0    0    0    0    0
  277  51908 165.2   0.1   26.9   25.0   28.4   25.6    0    0    0    0    0
  278  51899 167.0   0.0   18.9   11.0   15.8   15.9  516   43   35   14   32
  278  51900 167.0   0.0   48.1   34.4   40.8   42.5    0    0    0    0    0
  279  51608 168.9  -0.0   19.3   14.6   18.6   15.5  520   39   38   11   32
  280  51612 170.4   0.1   40.1   37.2   42.8   38.6  534   24   41    9   32
  281  51614 171.8   0.1   31.3   25.2   39.5   37.3  472   40   80   16   32
  282  51630 173.8  -0.0   11.6   17.9   18.7   16.1  392   58  118   40   32
  282  51658 173.8  -0.0   33.7   30.7   40.6   31.2  418   63  121    6   32
  283  51584 176.0  -0.0   12.1    9.5    8.1    4.7  451   52   66   39   32
  283  51660   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  284  51662 178.0  -0.1   14.2   13.9   13.4   11.6  510   47   43    8   32
  285  51663 179.6  -0.0   15.0   11.6   14.5   16.3  515   28   52   13   32
  291  51660 190.7  -0.0   19.1   16.0   16.0   18.3  525   30   43   10   32
  292  51609 192.5  -0.0   21.2   18.6   23.4   18.4  469   56   75    8   32
  293  51689 194.4   0.0   21.5   25.9   19.3   24.1  429   74   94   11   32
  295  51580 198.1   0.0    2.4    2.0    1.4    0.8  426   25   41  116   32
  295  51585 198.1   0.0   10.5    6.0   18.2   10.5  494   35   35   44   32
  296  51578   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  296  51665 199.8   0.1   17.2   14.9   14.5   12.4  534   35   36    3   32
  297  51663 201.6   0.0   15.0   17.9   18.0   18.4  526   29   45    8   32
  298  51662 203.5   0.0   14.3    8.6   14.5   12.5  452   48   95   13   32
  299  51671 205.4  -0.0   32.2   27.3   28.0   26.7  471   39   89    9   32
  300  51666 207.2   0.0   23.8   20.6   20.3   19.2  456   54   90    8   32
  301  51641 209.6  -0.0   19.9   21.9   20.7   20.3  429   65  109    5   32
  302  51616 211.7   0.0    1.6    1.2    1.7    1.4  419   36   58   95   32
  302  51688 211.7   0.0   23.8   21.4   24.7   23.3  486   52   67    4   31
  303  51615 213.4  -0.0   24.4   23.1   27.8   23.2  526   34   46    2   32
  304  51609 214.6  -0.0   19.1   16.8   23.3   21.0  457   34  114    4   31
  305  51613 216.3   0.0   25.0   26.1   29.4   30.6  472   36   94    6   32
  306  51637 217.9  -0.0   30.8   29.5   29.7   30.9  506   45   54    3   32
  306  51690 217.9  -0.0   20.1   25.3   21.3   27.1  505   46   53    4   32
  307  51663 219.7  -0.0   23.0   22.2   21.1   22.0  458   44   97    9   32
  308  51662 221.6  -0.1   27.7   23.7   29.2   26.0  418   64  113   13   32
  309  51666 223.7   0.0   21.6   14.4   21.3   15.0  432   58  104   14   32
  310  51616 225.9   0.0   10.7   10.4   13.3   12.9  429   59  100   20   32
  311  51665 227.4   0.0   22.4   20.2   22.4   19.4  528   29   47    4   32
  312  51689 229.1   0.0   20.3   25.3   22.5   27.8  500   46   60    2   32
  313  51673 230.9   0.0   22.6   22.8   22.1   19.2  489   40   69   10   32
  314  51641 232.7   0.1   16.1   17.8   21.3   17.0  530   27   47    4   32
  315  51663 234.6   0.1   18.8   15.9   18.6   22.1  504   42   49   13   32
  318  51580 132.8  11.8    0.0    0.0    0.0    0.0   29  284  198   97   32
  318  51614 132.8  11.8    0.0    0.0    0.0    0.0   89  329   22  168   32
  318  51629 132.8  11.8    0.0    0.0    0.0    0.0  237   46  226   99   32
  323  51615 183.0   0.0   37.2  162.7   51.2  141.1   38    2  568    0   32
  324  51616   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  324  51666 183.0  -0.1   20.6   18.8   21.3   30.2   14    5  588    1   32
  338  51694 194.4  -2.3   23.2   23.9   21.8   24.2  490   40   66   11   33
  339  51692 196.3  -2.6   25.4   26.8   24.1   19.8  466   45   84   13   32
  340  51691 198.1  -2.2   22.6   23.9   19.1   20.9  441   42  114   11   32
  341  51690 200.1  -2.3   25.3   23.4   21.2   25.6  480   41   76   10   33
  342  51691 236.9   0.1   20.6   19.9   25.6   29.0  422   45  126   14   33
  343  51692 239.0  -0.1   25.0   27.5   22.8   21.2  442   43  111   12   32
  344  51693 240.7   0.1   17.7   22.4   20.8   22.1  429   31  118   29   33
  345  51690 242.4  -0.1   20.8   22.8   21.9   27.2  455   39   96   17   33
  346  51693 244.3   0.0   19.0   23.2   21.8   24.5  407   42  141   17   33
  347  51701   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  348  51671 248.6   0.1   28.6   23.7   26.0   28.3  374   25  204    5   32
  348  51696 248.6   0.1   19.8   32.6   17.1   28.2  367   25  211    5   32
  349  51699 254.2  63.7   48.4   56.2   44.7   54.3  434   38  119   16   33
  350  51691 258.6  65.1   21.9   26.7   25.6   28.7  260  292   44   12   32
  351  51695 255.8  61.6   18.9   23.1   20.0   21.1  455   50   81   22   32
  351  51780 255.8  61.6   22.1   23.1   16.9   17.4  455   50   82   21   32
  352  51694 260.2  63.0   21.1   22.8   26.4   27.2  441   42  119    6   32
  352  51789 260.2  63.0   24.4   24.3   21.6   22.3  442   39  120    7   32
  353  51703 257.5  59.6   36.5   38.0   35.5   38.4  475   47   76   10   32
  354  51792 261.3  60.9   15.6   19.3   14.7   20.7  371   83  130   24   32
  355  51788 258.9  57.5   28.2   28.7   22.9   25.5  467   40   89   12   32
  356  51779 262.4  58.8   18.9   20.0   14.2    4.7  387   77  122   22   32
  357  51813 260.3  55.4   35.2   36.0   26.1   30.3  384   57  150   17   32
  358  51818 263.4  56.7   26.5   27.6   26.2   27.6  424   75   98   11   32
  359  51821 261.3  53.3   11.3   13.4   10.7   13.7  318   72  123   43   84
  360  51780 264.4  54.6   19.9   22.0   12.4   17.2  405   82  108   12   33
  360  51816 264.4  54.6   20.7   21.5   19.8   20.1  408   82  107   10   33
  373  51788 331.8   0.0   25.2   28.5   21.5   20.5  413   47  138   10   32
  374  51791 333.7  -0.0   18.9   16.0   19.2   16.2  439   48  105   16   32
  379  51789 343.4   0.1   18.6   17.2   17.9   15.5  513   35   51    9   32
  380  51792 345.4  -0.1   26.9   18.6   24.6   18.0  422   65  108   11   34
  381  51811 347.4   0.0   28.1   27.4   27.1   26.2  388  109   99   10   34
  382  51816 349.2   0.1   26.6   22.1   20.3   20.7  392   97  108   11   32
  383  51818 351.3   0.1   28.8   22.6   28.8   25.7  450   63   89    5   33
  384  51821 353.3  -0.0   25.4   25.8   26.4   26.2  497   41   62    8   32
  385  51783 355.4   0.0   28.8   31.8   27.8   28.5  449   65   86    8   32
