PLATE   MJD FIBERID             Z       COMMENT
----- ----- ------- ------------- -------------
  269 51910     189      2.731500     S/N=11.24
  269 51910     386      2.165700     S/N=18.00
  269 51910     467      3.037500     S/N=13.48
  270 51909     231      1.243500     S/N=26.72
  270 51909     254      3.139300     S/N= 7.73
  270 51909     537     0.1780000     S/N=41.46
  272 51941      88      2.555000     S/N=16.69
  272 51941     175      1.498200     S/N=29.85
  272 51941     268      2.598600     S/N=22.47
  272 51941     373      1.613900     S/N=22.88
  273 51957      37      3.683700     S/N= 5.50
  273 51957      86      1.262700     S/N=29.41
  273 51957     109      4.396900     S/N= 1.11
  273 51957     291      2.850000     S/N=16.66
  273 51957     299      3.744800     S/N= 3.53
  274 51913      60     0.4974000     S/N=24.56
  274 51913     102      2.957400     S/N=17.41
  274 51913     106      1.972200     S/N=28.35
  274 51913     172      4.310000     S/N= 6.01
  274 51913     179      2.068000     S/N=28.55
  274 51913     334      1.528700     S/N=37.53
  274 51913     357      1.733200     S/N=28.52
  274 51913     390      3.750000     S/N= 6.03
  274 51913     602      1.401600     S/N=20.72
  275 51910     202     0.9711000     S/N=32.59
  275 51910     257      2.314700     S/N=13.16
  275 51910       6      2.115400     S/N=24.55
  275 51910      51      1.740600     S/N=21.75
  275 51910     538      3.718600     S/N= 3.93
  275 51910     544      1.400500     S/N=21.16
  276 51909      38     0.1877000     S/N=29.32
  276 51909      68      1.437000     S/N=22.31
  276 51909     107      3.600000     S/N= 7.51
  276 51909     110      1.021100     S/N=24.95
  276 51909     172      4.297900     S/N= 3.64
  276 51909     177      4.150000     S/N= 3.45
  276 51909     191      2.258400     S/N=21.32
  276 51909     251     0.3591000     S/N=59.11
  276 51909     313      4.010000     S/N= 7.44
  276 51909     472     0.9135000     S/N=29.19
  276 51909     485      2.601000     S/N=13.16
  276 51909     529      3.655000     S/N=12.64
  276 51909     549      4.030000     S/N= 4.15
  277 51908     212     0.3776000     S/N=26.33
  277 51908     341      2.817900     S/N=12.24
  277 51908     363      4.080000     S/N= 2.11
  277 51908     592      1.006400     S/N=23.22
  278 51900      65      1.116300     S/N=32.58
  278 51900     123      1.795700 S/N=22.77 BAL
  278 51900     188      2.281600     S/N=13.92
  278 51900     203      4.031900     S/N= 3.90
  278 51900     208      3.395100     S/N=10.19
  278 51900     215      4.580000     S/N= 1.86
  278 51900     232      1.172100     S/N=31.80
  278 51900     241      1.004400     S/N=51.97
  278 51900     251      2.450000 S/N=13.95 BAL
  278 51900     271      1.739900     S/N=21.22
  278 51900     378      1.392400     S/N=42.99
  278 51900     384      1.878200     S/N=18.32
  278 51900     435      4.400000 S/N= 1.16 BAL
  278 51900     527    0.09500000     S/N=58.11
  278 51900     584      4.043500     S/N= 2.82
  278 51900     619      1.682200 S/N=27.06 BAL
  283 51959     276     0.5043000     S/N=26.74
  283 51959     315      3.590000 S/N= 3.51 BAL
  283 51959     350     0.4718000     S/N=25.77
  283 51959     427     0.6409000     S/N=23.35
  283 51959     447      1.271500     S/N=28.09
  284 51943     273      1.976500     S/N=38.14
  284 51943     412      1.880800     S/N=22.25
  284 51943     450      1.635600     S/N=28.03
  284 51943     466     0.7826000     S/N=29.79
  284 51943     516      1.604100 S/N=21.49 BAL
  284 51943     501     0.7291000     S/N=31.21
  285 51930      14      3.586700     S/N= 6.70
  285 51930     114      1.986700     S/N=25.94
  285 51930     378      1.850400     S/N=18.69
  285 51930     520     0.9485000     S/N=26.16
  285 51930     540      1.988700 S/N=29.98 BAL
  285 51930     616      1.524400     S/N=24.36
  285 51930     613      3.875200     S/N= 3.57
  286 51999     126      2.984300     S/N=10.59
  286 51999     183      5.109300     S/N= 0.80
  286 51999     341      1.172300     S/N=21.44
  286 51999     585      2.719300     S/N= 9.33
  286 51999     598      2.707900 S/N= 9.68 BAL
  287 52023      58      3.886100     S/N= 2.53
  287 52023     377      1.199400     S/N=31.68
  288 52000     131      1.576900     S/N=37.82
  288 52000     188      2.295600     S/N=24.99
  288 52000     266      2.705400 S/N=27.82 BAL
  288 52000     481      2.627300     S/N=11.77
  288 52000     516      2.044100     S/N=31.22
  288 52000     575      1.523500     S/N=22.12
  289 51990      88      2.653700     S/N=16.00
  289 51990     178      2.976000     S/N=12.02
  289 51990     206     0.9207000     S/N=26.98
  289 51990     216      2.611200 S/N=15.64 BAL
  289 51990     417      4.274300     S/N= 3.49
  289 51990     475      4.175500     S/N= 3.73
  290 51941     257      3.800300     S/N= 2.28
  290 51941     269     0.4712000     S/N=23.83
  290 51941     308      2.554500     S/N=15.29
  290 51941     322      2.886200     S/N=11.35
  290 51941     436      4.700000     S/N= 0.78
  290 51941     523      3.279300     S/N= 9.37
  290 51941     566      3.150000     S/N= 8.46
  291 51928      88      2.397000     S/N=12.45
  291 51928     144      1.042400     S/N=22.84
  291 51928     149      2.074900     S/N=26.40
  291 51928     252      3.900000     S/N= 1.84
  291 51928     289     0.8192000     S/N=20.47
  291 51928     358      1.358300     S/N=30.30
  291 51928     381      1.214800     S/N=34.92
  291 51928     444     0.7883000     S/N=26.11
  291 51928     457    0.08980000     S/N=30.59
  291 51928     612      2.808500 S/N=16.79 BAL
  293 51689      21      1.723700     S/N=21.56
