# BOSS QSO PCA redshift training sample input file.
# Generated on 20 June 2011 by Adam S. Bolton, Univ. of Utah.
# Based on matching all BOSS spectra against the list of
# re-observed SDSS-1 redshifted quasars described at:
#   https://trac.sdss3.org/wiki/BOSS/obstemplates
# and verifying data quality of the input spectra.
#
# Used to generate spEigenQSO-55732.fits for inclusion in
# IDLSPEC2D redshift pipeline analysis, with the IDL command
#  pca_qso, inputfile=thisfile, wavemin=450., wavemax=10400., niter=10
#
# plate  mjd   fiberid   z
#-------------------------
 3588  55184   488   0.185900
 4234  55478   590   0.217200
 3588  55184   569   0.235100
 3736  55214   998   0.238600
 3589  55186   428   0.241900
 3639  55205   118   0.244500
 3609  55201   444   0.253000
 3606  55182   138   0.269200
 3609  55201   524   0.311700
 4200  55499   947   0.320100
 4230  55483   532   0.336200
 3590  55201   597   0.349900
 3606  55182   979   0.360500
 3609  55201   610   0.362400
 4234  55478   523   0.389400
 3606  55182    30   0.389900
 3587  55182   458   0.390100
 3639  55205   731   0.404500
 3590  55201   946   0.408500
 4218  55479   123   0.416400
 4236  55479   164   0.420200
 3606  55182   100   0.421800
 4219  55480   852   0.421900
 3736  55214    68   0.458400
 4208  55476   148   0.463100
 3606  55182   624   0.485100
 3745  55234   754   0.498100
 3615  55179   641   0.504200
 4216  55477   224   0.517800
 4227  55481   236   0.531500
 4197  55479   610   0.541700
 4204  55470   326   0.542200
 3590  55201    97   0.550600
 4212  55447     9   0.555500
 3590  55201   450   0.559000
 4227  55481   900   0.569900
 3615  55179   534   0.596100
 4231  55444   476   0.619700
 3744  55209   482   0.625200
 4296  55499   128   0.634100
 3615  55179   158   0.644300
 3587  55182   158   0.649900
 3589  55186   483   0.656100
 4225  55455   352   0.681900
 3615  55179   390   0.684600
 3589  55186   466   0.729500
 3639  55205   501   0.744800
 3606  55182   174   0.768500
 3615  55179   530   0.774200
 3606  55182   956   0.780100
 3588  55184   580   0.802000
 3650  55244   380   0.807000
 4203  55447   806   0.807800
 3606  55182   875   0.826200
 3590  55201   732   0.853000
 3650  55244   476   0.853200
 3615  55179   420   0.855500
 3615  55179   146   0.861300
 3588  55184   462   0.862200
 3650  55244   732   0.901800
 3639  55205   208   0.937000
 4216  55477   758   0.951200
 3745  55234   752   0.968500
 3606  55182   674   0.984700
 3589  55186   752   0.998000
 3639  55205   278   0.999900
 3589  55186   430   1.014100
 3615  55179   338   1.018700
 3736  55214   648   1.022200
 3639  55205   354   1.054700
 3615  55179   498   1.055200
 3587  55182    88   1.103800
 3588  55184   476   1.119900
 3745  55234   798   1.150300
 4229  55501   217   1.156800
 3615  55208   748   1.156800
 3615  55208    22   1.167200
 3606  55182   787   1.169700
